首发日期	最后更新	标题	出品方	体裁	出品方类型	主题	标签	出处	摘要	收录理由	出品方品牌与代表产品/项目
2026-09-16	-	Why We Post-Trained Our Own Reasoning Model (Koa)	Salesforce	文章	厂商	构造方式	tool-interface|工具接口	https://www.salesforce.com/news/stories/why-we-post-trained-our-own-reasoning-model/	Salesforce 介绍为企业工作训练 Koa 推理模型的原因、后训练流程及其与通用模型的区别。	原文内容呈现AI 参与软件设计、实现、测试或工程流程的方式，与本仓记录 AI 如何改变软件开发的范围直接相关。	Salesforce；Koa
2026-09-16	2026-09-23	Migrating the GitHub Copilot runtime to Rust, using Copilot	GitHub	文章	厂商	构造方式	orchestration|编排|empirical-study|实证测量	https://github.blog/ai-and-ml/generative-ai/migrating-the-github-copilot-runtime-to-rust-using-copilot/	记录使用 Copilot 将共享智能体运行时从 TypeScript 分批迁移至 Rust 的过程，说明临时互操作层、SDK 接口、渐进发布与测试安排，并给出拉取请求和会话日志数据。	文章以已落地的运行时迁移为对象，展示编码 Agent 如何参与跨组件改写、并行协作和验证，以及共享 Agent 运行时的构造方式；其迁移步骤和日志数据提供了具体工程证据。	—
2026-09-15	-	Introducing System One Models & Jev	TypeSafe AI	文章	厂商	构造方式|应用内部	decision-model|决策模型|tool-interface|工具接口	https://typesafe.ai/blog/introducing-system-one-models-and-jev	TypeSafe AI 介绍 System One 模型系列和 Jev，说明其面向软件自动化提供结构化决策输出。	原文内容呈现AI 参与软件设计、实现、测试或工程流程的方式、AI 改变软件内部功能、流程或数据处理的方式，与本仓记录 AI 如何改变软件开发的范围直接相关。	TypeSafe AI；System One / Jev
2026-09-15	-	Introduction — TypeSafe AI (Jev developer documentation)	TypeSafe AI	文档	厂商	构造方式	decision-model|决策模型|tool-interface|工具接口	https://docs.typesafe.ai/introduction	介绍 Jev API 的状态输入和类型化问题接口，以及供程序和编程智能体使用结构化回答的方式。	原文内容呈现AI 参与软件设计、实现、测试或工程流程的方式，与本仓记录 AI 如何改变软件开发的范围直接相关。	TypeSafe AI；Jev
2026-09-15	-	Announcing Koa: Salesforce’s First CRM Reasoning Model, Built on NVIDIA Nemotron	Salesforce	文章	厂商	构造方式	tool-interface|工具接口	https://www.salesforce.com/news/press-releases/2026/09/15/koa-reasoning-model/	Salesforce 与 NVIDIA 发布 Koa CRM 推理模型，说明其面向企业多步骤任务并基于 Salesforce 业务数据训练。	原文内容呈现AI 参与软件设计、实现、测试或工程流程的方式，与本仓记录 AI 如何改变软件开发的范围直接相关。	Salesforce；Koa
2026-09-14	-	Salesforce Koa: An Enterprise Language Model for Agentic Tool Use	Salesforce	论文	厂商	构造方式	tool-interface|工具接口	https://arxiv.org/abs/2609.15066	介绍 Salesforce Koa 的模型构建方法，描述其以 Nemotron 基础模型为起点并通过强化学习适配企业工具使用。	原文内容呈现AI 参与软件设计、实现、测试或工程流程的方式，与本仓记录 AI 如何改变软件开发的范围直接相关。	Salesforce；Koa
2026-09-14	-	Authorization Architectures for Tool-Using AI Agents	Westcliff University, University of the Cumberlands, Delta Air Lines, Georgia Institute of Technology	论文	产学合作	安全与攻防	authorization|身份与授权|survey|综述	https://arxiv.org/abs/2609.15906	提出面向工具型 AI 智能体的授权架构，讨论如何将行动绑定到用户主体、权限范围和审计记录。	原文内容呈现AI 软件或智能体的威胁、安全控制与防护机制，与本仓记录 AI 如何改变软件开发的范围直接相关。	—
2026-09-14	-	When Tool Calls Succeed but Workflows Fail: Anomalies at the Agent-Tool Boundary	AVIV Group, independent researcher	论文	厂商	构造方式	tool-interface|工具接口	https://arxiv.org/abs/2609.15397	研究重试、并发和部分失败时智能体工作流与外部工具状态不一致的情况，包括操作遗漏、重复及已取消操作残留。	原文内容呈现AI 参与软件设计、实现、测试或工程流程的方式，与本仓记录 AI 如何改变软件开发的范围直接相关。	—
2026-09-13	-	A Two-Dimensional Study of the Model Context Protocol: Publication and Adoption	Luxembourg Institute of Science and Technology, University of Luxembourg	论文	学界	协议与生态	MCP|empirical-study|实证测量	https://arxiv.org/abs/2609.14721	对 MCP 相关论文和 GitHub 仓库进行纵向统计，分析研究发表、开源采用及两者之间的关系。	原文内容呈现AI 系统与软件接口、协议或工具生态的演进，与本仓记录 AI 如何改变软件开发的范围直接相关。	—
2026-09-13	-	The Stochastic Deputy: Structural Tenant Isolation for Tool-Using LLM Agents	Fandaqah, Heidelberg University	论文	产学合作	安全与攻防	MCP|authorization|身份与授权	https://arxiv.org/abs/2609.14780	提出结构化多租户隔离方法，将租户范围绑定到已验证凭据并在服务器侧强制执行，而不让模型自行选择租户标识。	原文内容呈现AI 软件或智能体的威胁、安全控制与防护机制，与本仓记录 AI 如何改变软件开发的范围直接相关。	—
2026-09-12	-	Same Name, Different Server: A Security Census of Silent Drift in MCP	Texas Tech University	论文	学界	协议与生态|安全与攻防	MCP|empirical-study|实证测量	https://arxiv.org/abs/2609.14119	对公开 MCP 注册表中的服务器及版本进行安全普查，研究同名服务器在版本间静默变化的情况。	原文内容呈现AI 系统与软件接口、协议或工具生态的演进、AI 软件或智能体的威胁、安全控制与防护机制，与本仓记录 AI 如何改变软件开发的范围直接相关。	—
2026-09-10	-	Is Bash All You Need? An Empirical Study of Tool Interfaces for Enterprise Digital Worker Agents	Microsoft, Carnegie Mellon University	论文	产学合作	构造方式|界面与接入	tool-interface|工具接口|benchmark|基准评测	https://arxiv.org/abs/2609.11999	比较企业数字工作任务中的多种智能体工具接口，包括专用类型化工具与通用 shell。	原文内容呈现AI 参与软件设计、实现、测试或工程流程的方式、AI 接入软件能力或用户界面的具体方式，与本仓记录 AI 如何改变软件开发的范围直接相关。	—
2026-09-05	-	Intent Drift at SME Scale: Deployment Practice, Not Model Capability, Determines Agentic Compliance	Hong Kong University of Science and Technology	论文	学界	运行与问责|应用内部	regulation|法规|empirical-study|实证测量	https://arxiv.org/abs/2609.05975	提出适用于受监管小型企业的 Chain of Intent 治理框架，并通过模拟资产管理场景检验部署约束的执行情况。	原文内容呈现AI 软件的运行治理、授权、监测或责任安排、AI 改变软件内部功能、流程或数据处理的方式，与本仓记录 AI 如何改变软件开发的范围直接相关。	—
2026-09-02	-	How we make AI coding more cost efficient without sacrificing task quality	GitHub	文章	厂商	构造方式	orchestration|编排|empirical-study|实证测量	https://github.blog/ai-and-ml/github-copilot/how-we-make-ai-coding-more-cost-efficient-without-sacrificing-task-quality/	GitHub 介绍 Copilot 编码 Agent 在工具输出压缩、提示词缩短和后台任务通知等方面的改动，并报告离线基准与线上实验的评估方法和结果。	文章给出编码 Agent 的上下文管理、任务编排和评估实践，直接记录 AI 编程工具的工程实现如何变化。	—
2026-08-31	-	Delegation Without Trust: An Empirical Gap Analysis of Identity, Authorization, and Runtime	VotalAI	论文	厂商	安全与攻防	authorization|身份与授权	https://arxiv.org/abs/2609.00267	分析多智能体系统在身份、授权和运行时治理上的委托机制，并通过案例评估现有设计缺口。	原文内容呈现AI 软件或智能体的威胁、安全控制与防护机制，与本仓记录 AI 如何改变软件开发的范围直接相关。	—
2026-08-25	-	Hybrid Semantic Tool Discovery for Enterprise MCP Gateway: Architecture and Implementation	PayPal	论文	厂商	协议与生态|构造方式	MCP|context-engineering|上下文工程|tool-interface|工具接口	https://arxiv.org/abs/2608.23992	提出企业 MCP 网关的混合语义工具发现架构，讨论如何在大量工具场景下兼顾上下文、认证、策略和可观测性。	原文内容呈现AI 系统与软件接口、协议或工具生态的演进、AI 参与软件设计、实现、测试或工程流程的方式，与本仓记录 AI 如何改变软件开发的范围直接相关。	—
2026-08-25	-	Model-Based Agentic Software Engineering	Purdue University; Amazon Robotics	论文	产学合作	构造方式|运行与问责	orchestration|编排|risk-framework|风险框架	https://arxiv.org/abs/2608.25174	提出 MAGE 理论框架，通过显式表示工程知识，并以约束、传感器、验证器和准入门控制智能体工作；研究基于一个纵向案例及六个工业案例的比较分析。	研究直接讨论如何把工程知识、验证证据和权限约束纳入编码 Agent 的工作环境，属于 AI 改变软件工程流程与治理方式的一手研究。	—
2026-08-22	-	From SQL Generation to Tool Selection: A Domain-Oriented Pattern for MCP Servers	No affiliation stated (Bartolomeo Bogliolo)	论文	个人	界面与接入|构造方式	MCP|tool-interface|工具接口	https://arxiv.org/abs/2608.22063	提出面向 MCP 服务器的领域工具模式：以封装业务规则的专用参数化工具替代模型运行时生成通用 SQL。	原文内容呈现AI 接入软件能力或用户界面的具体方式、AI 参与软件设计、实现、测试或工程流程的方式，与本仓记录 AI 如何改变软件开发的范围直接相关。	—
2026-08-19	-	Expanding Headless 360: Turning Enterprise Applications into Enterprise Capabilities	Salesforce	文章	厂商	界面与接入	headless|无头化	https://www.salesforce.com/news/stories/expanding-headless-360-enterprise-capabilities/	介绍 Salesforce Headless 360 将企业应用能力封装为可供获授权智能体发现和调用的接口。	原文内容呈现AI 接入软件能力或用户界面的具体方式，与本仓记录 AI 如何改变软件开发的范围直接相关。	Salesforce；Headless 360
2026-08-17	2026-08-18	Security Assessment of DeepSeek Harness with A.I.G: Evaluating Resistance to Indirect Prompt Injection	Tencent Zhuque Lab	论文	厂商	安全与攻防|构造方式	tool-interface|工具接口|empirical-study|实证测量	https://arxiv.org/abs/2608.16393	通过受控间接提示注入测试评估 DeepSeek Harness，分析不同内容通道、攻击方法和运行轨迹下的防护表现。	原文内容呈现AI 软件或智能体的威胁、安全控制与防护机制、AI 参与软件设计、实现、测试或工程流程的方式，与本仓记录 AI 如何改变软件开发的范围直接相关。	—
2026-08-13	2026-09-17	DeepSeek Harness: everything is a plugin	DeepSeek AI	文档	厂商	构造方式|界面与接入	tool-interface|工具接口|orchestration|编排	https://github.com/deepseek-ai/deepseek-harness	DeepSeek 开发的开源智能体运行框架，以插件架构组织功能；仓库说明当前处于开发预览阶段。	原文内容呈现AI 参与软件设计、实现、测试或工程流程的方式、AI 接入软件能力或用户界面的具体方式，与本仓记录 AI 如何改变软件开发的范围直接相关。	DeepSeek；DeepSeek Harness
2026-07-28	-	Model Context Protocol Specification (version 2026-07-28)	Model Context Protocol	规范	标准组织	协议与生态	MCP	https://modelcontextprotocol.io/specification/latest	定义 Model Context Protocol 的客户端与服务器通信、消息模式、传输、授权及工具等协议机制。	原文内容呈现AI 系统与软件接口、协议或工具生态的演进，与本仓记录 AI 如何改变软件开发的范围直接相关。	—
2026-07-04	2026-09-15	Security Principal and Verifier Binding for Agent Communication Protocols (Internet-Draft)	Songbo Bu	规范	个人	安全与攻防|协议与生态	authorization|身份与授权	https://datatracker.ietf.org/doc/draft-bu-agentproto-security-principal-binding/07/	这份个人 Internet-Draft 为智能体通信协议中的身份、授权、委托和行动证据定义验证者矩阵，逐项标明声明载体、验证者、绑定、新鲜度和失败行为，并给出组合规则与测试向量。	草案将智能体协议中的授权与身份主张拆成可逐项验证的安全声明，规定跨协议组合时的结果和失效边界，直接对应协议生态的安全设计；原文还列出版本固定的测试向量供核查。	—
2026-07	-	Apeiron: A Scalable LLM-agentic Framework for Autonomous Full-lifecycle Demand-optimized Application Synthesis	Dartmouth College; Microsoft	论文	产学合作	构造方式	benchmark|基准评测|empirical-study|实证测量	https://aclanthology.org/2026.findings-acl.188/	提出用计算机操作智能体模拟用户需求、结合代码交互轨迹评估，并在持续交付中约束变更的应用合成框架；论文报告了多场景基准与用户研究结果。	原文内容呈现AI 参与软件设计、实现、测试或工程流程的方式，与本仓记录 AI 如何改变软件开发的范围直接相关。	—
2026-06-30	-	Benchmarking the Benchmarks: A Validity Audit of Tool-Calling Evaluation	CoreThink AI, Stanford University	论文	产学合作	构造方式	benchmark|基准评测	https://arxiv.org/abs/2607.02577	对四类工具调用基准开展效度与复现性审计，并以专家复核任务比较评测器结果和人工判断。	原文内容呈现AI 参与软件设计、实现、测试或工程流程的方式，与本仓记录 AI 如何改变软件开发的范围直接相关。	—
2026-06-08	-	Understanding How Enterprises Adopt the Model Context Protocol for LLM-Driven Software Engineering	City University of Hong Kong, Hong Kong Metropolitan University	论文	学界	协议与生态|构造方式	MCP|empirical-study|实证测量	https://arxiv.org/abs/2606.09182	通过实证研究分析企业在软件工程场景采用 MCP 的方式、部署挑战、运营风险和从业者经验。	原文内容呈现AI 系统与软件接口、协议或工具生态的演进、AI 参与软件设计、实现、测试或工程流程的方式，与本仓记录 AI 如何改变软件开发的范围直接相关。	—
2026-06-03	-	The State Of Agentic AI In 2026 (public blog post)	Forrester	文章	分析机构	商业与组织	market-data|市场数据	https://www.forrester.com/blogs/the-state-of-agentic-ai-in-2026-companies-are-chasing-few-are-catching/	Forrester 文章讨论企业智能体 AI 的采用和规模化之间的差距，并介绍报告对推广障碍的分析。	原文内容呈现AI 对软件产品边界、商业模式或组织分工的影响，与本仓记录 AI 如何改变软件开发的范围直接相关。	—
2026-05-28	2026-08-10	On Effectiveness and Efficiency of Agentic Tool-calling and RL Training	LMU Munich, Munich Center for Machine Learning, University of Illinois Urbana-Champaign, Amazon, University of Sheffield	论文	产学合作	构造方式	tool-interface|工具接口|benchmark|基准评测	https://arxiv.org/abs/2606.00135	从评测有效性和训练效率两个角度研究智能体工具调用，分析评测流程及强化学习训练方法。	原文内容呈现AI 参与软件设计、实现、测试或工程流程的方式，与本仓记录 AI 如何改变软件开发的范围直接相关。	—
2026-05-28	2026-05-28	Awesome Context Engineering (companion repo)	Institute of Computing Technology CAS, et al.	清单	学界	应用内部|构造方式	context-engineering|上下文工程|curated-list|资源清单	https://github.com/Meirtz/Awesome-Context-Engineering	整理上下文工程相关方法、框架、工具、示例和研究资料，供构建 LLM 应用时查阅。	原文内容呈现AI 改变软件内部功能、流程或数据处理的方式、AI 参与软件设计、实现、测试或工程流程的方式，与本仓记录 AI 如何改变软件开发的范围直接相关。	—
2026-05-18	-	Going Headless? On the Boundaries of Vertical AI Firms	University of Pittsburgh, Ensi.ai	论文	产学合作	界面与接入|商业与组织|运行与问责	headless|无头化	https://arxiv.org/abs/2605.17812	分析通用智能体将垂直软件中的工作流、领域逻辑和责任机制拆分后，对不同垂直 AI 企业边界的影响。	原文内容呈现AI 接入软件能力或用户界面的具体方式、AI 对软件产品边界、商业模式或组织分工的影响、AI 软件的运行治理、授权、监测或责任安排，与本仓记录 AI 如何改变软件开发的范围直接相关。	—
2026-05-13	-	ServiceNow opens its full system of action to every AI Agent in the enterprise (Action Fabric)	ServiceNow	文章	厂商	界面与接入|运行与问责	headless|无头化	https://newsroom.servicenow.com/press-releases/details/2026/ServiceNow-opens-its-full-system-of-action-to-every-AI-Agent-in-the-enterprise/default.aspx	ServiceNow 发布 Action Fabric，介绍让企业 AI 智能体连接并调用跨系统工作流与操作能力的方案。	原文内容呈现AI 接入软件能力或用户界面的具体方式、AI 软件的运行治理、授权、监测或责任安排，与本仓记录 AI 如何改变软件开发的范围直接相关。	—
2026-04-29	2026-05-02	The Buy-or-Build Decision, Revisited: How Agentic AI Changes the Economics of Enterprise Software	Stuttgart Media University	论文	学界	商业与组织	buy-vs-build|买还是自建	https://arxiv.org/abs/2604.26482	从交易成本和资源基础等理论讨论智能体式 AI 如何改变企业软件的自建或采购决策。	原文内容呈现AI 对软件产品边界、商业模式或组织分工的影响，与本仓记录 AI 如何改变软件开发的范围直接相关。	—
2026-04-28	-	Connecting Agents to Decisions	Palantir	文章	厂商	界面与接入|运行与问责	ontology|本体|orchestration|编排	https://blog.palantir.com/connecting-agents-to-decisions-277dee8ddb40	文章介绍 Palantir Ontology 的决策中心架构，将企业数据、业务逻辑、行动及安全策略连接起来以供人员和智能体使用。	原文内容呈现AI 接入软件能力或用户界面的具体方式、AI 软件的运行治理、授权、监测或责任安排，与本仓记录 AI 如何改变软件开发的范围直接相关。	Palantir；AIP
2026-04-26	-	Infrastructure for the Agentic Web: Gap Analysis and Architecture from the Agentverse Platform	OpenHub Research	论文	社区与非营利	协议与生态	empirical-study|实证测量|registry|注册表	https://arxiv.org/abs/2606.20570	分析 Agentverse 智能体云平台所需的基础设施，并提出面向智能体网络的架构组成。	原文内容呈现AI 系统与软件接口、协议或工具生态的演进，与本仓记录 AI 如何改变软件开发的范围直接相关。	—
2026-04-17	2026-04-20	Integrating Graphs, Large Language Models, and Agents: Reasoning and Retrieval	Canadian Institute for Cybersecurity, University of New Brunswick	论文	学界	应用内部	ontology|本体|RAG|检索增强|survey|综述	https://arxiv.org/abs/2604.15951	综述图结构、大语言模型与智能体在推理和信息检索中的结合方式，并归纳相关研究方向。	原文内容呈现AI 改变软件内部功能、流程或数据处理的方式，与本仓记录 AI 如何改变软件开发的范围直接相关。	—
2026-04-16	2026-08-26	Corpus2Skill: Distilling Enterprise Knowledge into Navigable Agent Skills for QA and RAG	Magellan Technology Research Institute	论文	厂商	应用内部|构造方式	RAG|检索增强|context-engineering|上下文工程	https://arxiv.org/abs/2604.14572	提出将企业知识语料离线整理为层级技能目录、再由智能体逐层检索的问答与检索架构。	原文内容呈现AI 改变软件内部功能、流程或数据处理的方式、AI 参与软件设计、实现、测试或工程流程的方式，与本仓记录 AI 如何改变软件开发的范围直接相关。	—
2026-04-02	2026-09-18	x402: a payments protocol for the internet, built on HTTP	Coinbase	规范	厂商	协议与生态	payments|支付	https://github.com/coinbase/x402	定义一种基于 HTTP 的互联网支付标准，并提供让网站或服务按请求接收数字货币及法币支付的实现示例。	原文内容呈现AI 系统与软件接口、协议或工具生态的演进，与本仓记录 AI 如何改变软件开发的范围直接相关。	—
2026-04-01	2026-06-04	Ontology-Constrained Neural Reasoning in Enterprise Agentic Systems: A Neurosymbolic Architecture for Domain-Grounded AI Agents	Golden Gate University, Foundation AgenticOS, Novartis	论文	产学合作	构造方式|应用内部	ontology|本体	https://arxiv.org/abs/2604.00555	介绍将神经网络与符号本体结合的企业智能体架构，用领域知识约束推理过程。	原文内容呈现AI 参与软件设计、实现、测试或工程流程的方式、AI 改变软件内部功能、流程或数据处理的方式，与本仓记录 AI 如何改变软件开发的范围直接相关。	—
2026-04	-	SAP API Policy v.4.2026a	SAP	规范	厂商	界面与接入|协议与生态	tool-interface|工具接口	https://help.sap.com/doc/sap-api-policy/latest/en-US/API_Policy_latest.pdf	规定 SAP API 的发布范围、调用限制和安全控制，并说明对自动化及生成式 AI 调用的适用边界。	原文内容呈现AI 接入软件能力或用户界面的具体方式、AI 系统与软件接口、协议或工具生态的演进，与本仓记录 AI 如何改变软件开发的范围直接相关。	—
2026-03-26	-	From Logic Monopoly to Social Contract (working paper, not peer reviewed)	NetX Foundation	论文	社区与非营利	运行与问责	risk-framework|风险框架	https://arxiv.org/abs/2603.25100	工作论文讨论自主智能体经济中的权力分离和治理结构，并提出以制度安排应对多智能体系统风险。	原文内容呈现AI 软件的运行治理、授权、监测或责任安排，与本仓记录 AI 如何改变软件开发的范围直接相关。	—
2026-03-14	2026-03-14	Awesome MCP Security: security scores for 800+ MCP servers	Agentseal	清单	厂商	安全与攻防|协议与生态	MCP|curated-list|资源清单	https://github.com/getagentseal/awesome-mcp-security	整理 MCP 服务器的安全评分和相关资源，覆盖项目 README 所列的 800 多个服务器。	原文内容呈现AI 软件或智能体的威胁、安全控制与防护机制、AI 系统与软件接口、协议或工具生态的演进，与本仓记录 AI 如何改变软件开发的范围直接相关。	—
2026-03-02	-	Good news: AI Will Eat Application Software	a16z	文章	投资机构	商业与组织	headless|无头化	https://a16z.com/good-news-ai-will-eat-application-software/	文章讨论生成式 AI 对企业应用软件市场的影响，提出网络效应、品牌和专有数据等因素仍会参与竞争。	原文内容呈现AI 对软件产品边界、商业模式或组织分工的影响，与本仓记录 AI 如何改变软件开发的范围直接相关。	—
2026-03	-	"AI Isn't Going to ""Eat"" Software: Agentic AI Needs the Authoritative Data and Rules Inside Enterprise Apps"	IDC	报告	分析机构	商业与组织	headless|无头化	https://my.idc.com/getdoc.jsp?containerId=US54377825	—	原文内容呈现题名涉及智能体式 AI 与企业应用数据规则的关系；正文需登录，纳入依据限于可见落地页信息。，与本仓记录 AI 如何改变软件开发的范围直接相关。	—
2026-02-24	-	The Headless Firm: How AI Reshapes Enterprise Boundaries	Mantix (authors declare a conflict of interest)	论文	厂商	界面与接入|商业与组织	headless|无头化	https://arxiv.org/abs/2602.21401	提出 Headless Firm 组织模型，讨论协议化智能体如何改变企业组件之间的协调成本和组织边界。	原文内容呈现AI 接入软件能力或用户界面的具体方式、AI 对软件产品边界、商业模式或组织分工的影响，与本仓记录 AI 如何改变软件开发的范围直接相关。	—
2026-02-11	-	The Ontology system	Palantir	文档	厂商	界面与接入|应用内部|运行与问责	ontology|本体	https://www.palantir.com/docs/foundry/architecture-center/ontology-system	说明 Palantir Ontology 如何用对象、属性、链接和行动表示企业中的真实业务实体与操作。	原文内容呈现AI 接入软件能力或用户界面的具体方式、AI 改变软件内部功能、流程或数据处理的方式、AI 软件的运行治理、授权、监测或责任安排，与本仓记录 AI 如何改变软件开发的范围直接相关。	Palantir；Foundry Ontology
2026-02-10	2026-09-12	awesome-ai-agent-papers: a curated collection of AI agent research papers released in 2026	VoltAgent	清单	厂商	应用内部|构造方式|运行与问责	curated-list|资源清单	https://github.com/VoltAgent/awesome-ai-agent-papers	按主题整理 2026 年发布的 AI 智能体研究论文，并提供可浏览的论文清单。	原文内容呈现AI 改变软件内部功能、流程或数据处理的方式、AI 参与软件设计、实现、测试或工程流程的方式、AI 软件的运行治理、授权、监测或责任安排，与本仓记录 AI 如何改变软件开发的范围直接相关。	—
2026-02-06	2026-06-17	Graphs Don't Stay Secret: Practical Subgraph Reconstruction Attacks on Defended Graph RAG	KAIST, National Security Research Institute	论文	学界	应用内部|安全与攻防	RAG|检索增强|context-engineering|上下文工程	https://arxiv.org/abs/2602.06495	研究攻击者如何通过 Graph RAG 查询重建其底层知识图谱中的子图，并评估相关防护方式。	原文内容呈现AI 改变软件内部功能、流程或数据处理的方式、AI 软件或智能体的威胁、安全控制与防护机制，与本仓记录 AI 如何改变软件开发的范围直接相关。	—
2026-02-03	-	Ontology-to-tools compilation for executable semantic constraint enforcement in LLM agents	University of Cambridge, CARES Singapore, MIT, CMCL	论文	产学合作	构造方式	ontology|本体|tool-interface|工具接口	https://arxiv.org/abs/2602.03439	提出将本体描述编译为可执行工具接口的原型方法，使智能体调用工具时可应用语义约束。	原文内容呈现AI 参与软件设计、实现、测试或工程流程的方式，与本仓记录 AI 如何改变软件开发的范围直接相关。	—
2026-02-01	-	LLM-Driven Ontology Construction for Enterprise Knowledge Graphs	Liber AI Research	论文	社区与非营利	应用内部	ontology|本体	https://arxiv.org/abs/2602.01276	提出使用大语言模型生成企业知识图谱本体的流程，以减少领域本体构建中的手工工作。	原文内容呈现AI 改变软件内部功能、流程或数据处理的方式，与本仓记录 AI 如何改变软件开发的范围直接相关。	—
